"imageCSV_only.i.","div","plateID","rowID","colID","density","uniqueCells.k.","avgRelTurnAngle","avgAbsRelTurnAngle","avgSegLen","totLen","degree","numNeurites","avgTort","totCPs","avgCPs"
"asl-rhin-CD2-20_0004_tracings.csv",1.5,"C","D",2,10000,"1",-11.9856684076868,32.979995314208,8.93100545211542,116.1030708775,5,2,1.26775830152024,11,5.5
"asl-rhin-CD2-20_0006_tracings.csv",1.5,"C","D",2,10000,"1",-8.40630763098833,21.9601306511117,10.7587476646047,43.0349906584187,1,1,1.02564574813597,3,3
"asl-rhin-CD2-20_0006_tracings.csv",1.5,"C","D",2,10000,"2",-2.1005877496044,24.0430601188293,9.08744098776126,99.9618508653738,2,2,1.02754586416376,9,4.5
"asl-rhin-CD2-20_0006_tracings.csv",1.5,"C","D",2,10000,"3",-26.9937490995077,26.9937490995077,6.97151157501885,27.8860463000754,5,4,1.02804764178053,2,1
"asl-rhin-CD2-20_0006_tracings.csv",1.5,"C","D",2,10000,"7",-73.1549662370101,73.1549662370101,13.0574600252119,39.1723800756358,1,1,1.49577018851416,2,2
"asl-rhin-CD2-20_0006_tracings.csv",1.5,"C","D",2,10000,"6",18.7344759349005,18.7344759349005,5.65270763237078,11.3054152647416,1,1,1.01807806635421,1,1
"asl-rhin-CD2-20_0006_tracings.csv",1.5,"C","D",2,10000,"8",-1.4609047826704,27.3288791266656,9.54904250589548,38.1961700235819,1,1,1.06142053634456,3,3
"asl-rhin-CD2-20_0006_tracings.csv",1.5,"C","D",2,10000,"9",16.007235388129,16.007235388129,19.0838079991507,38.1676159983015,1,1,1.0235104597802,1,1
"asl-rhin-CD2-20_0006_tracings.csv",1.5,"C","D",2,10000,"5",-10.713123022791,10.713123022791,12.1009474787687,24.2018949575374,2,2,1.01073895540485,1,1
"asl-rhin-CD2-20_0007_tracings.csv",1.5,"C","D",2,10000,"2",8.1479849268055,19.314827930156,8.25940779187457,33.0376311674982,1,1,1.0177208549473,3,3
"asl-rhin-CD2-20_0007_tracings.csv",1.5,"C","D",2,10000,"3",-0.62722581134075,21.3881906847616,8.55815621591986,25.6744686477595,2,2,1.02147436767259,2,2
"asl-rhin-CD2-40_0000_tracings.csv",1.5,"C","D",2,10000,"2",-10.3861273410229,10.3861273410229,4.89068680230667,14.67206040692,2,1,1.01491238423436,2,2
"asl-rhin-CD2-40_0000_tracings.csv",1.5,"C","D",2,10000,"1",1.41453621681193,19.5556989766794,6.0462688660356,157.202990516925,6,5,1.03263801607747,20,3.33333333333333
"asl-rhin-CD2-40_0001_tracings.csv",1.5,"C","D",2,10000,"2",-8.10403055135802,15.8368940559074,6.53456549887047,45.7419584920933,1,1,1.05062477767895,6,6
"asl-rhin-CD2-40_0001_tracings.csv",1.5,"C","D",2,10000,"3",6.654977596967,8.82187928783627,8.21503941797827,49.2902365078697,1,1,1.0292901803501,5,5
"asl-rhin-CD2-40_0001_tracings.csv",1.5,"C","D",2,10000,"4",-1.49010735991274,20.402359253322,7.34517840590327,51.4162488413228,2,2,1.04208917306816,5,2.5
"asl-rhin-CD2-40_0001_tracings.csv",1.5,"C","D",2,10000,"1",5.944329019814,21.2259367545088,4.83197469781663,14.4959240934499,1,1,1.03641323578375,2,2
"asl-rhin-CD2-40_0002_tracings.csv",1.5,"C","D",2,10000,"1",-3.9048480346777,25.7796497944163,5.48091089073533,27.4045544536767,1,1,1.04519153517479,4,4
"asl-rhin-CD2-40_0003_tracings.csv",1.5,"C","D",2,10000,"1",-13.25656619245,13.25656619245,6.66496083259622,33.324804162981,2,2,1.02552326895039,3,1.5
"asl-rhin-CD2-40_0003_tracings.csv",1.5,"C","D",2,10000,"2",20.0151296359448,20.0151296359448,6.2105928763935,18.6317786291805,1,1,1.0202675282857,2,2
"asl-rhin-CD2-40_0003_tracings.csv",1.5,"C","D",2,10000,"3",1.35921839745685,21.9452599963342,4.30013907677513,103.203337842603,4,3,1.15637658373196,20,5
"asl-rhin-CD2-40_0004_tracings.csv",1.5,"C","D",2,10000,"1",-0.656345688682311,23.2759750701341,5.41773846746392,119.190246284206,3,3,1.10911276897016,19,6.33333333333333
"asl-rhin-CD2-40_0004_tracings.csv",1.5,"C","D",2,10000,"2",7.857818081875,18.9034466450264,5.91863114388753,23.6745245755501,1,1,1.02954375268424,3,3
"asl-rhin-CD2-40_0004_tracings.csv",1.5,"C","D",2,10000,"3",-8.67423501189486,28.5805489797576,5.06067962404444,30.3640777442666,1,1,1.06933197817008,5,5
